time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.111021175088593e-08,-6.26113159854634e-08,10.001205076596566,6.282878785130148,6.283004689596456,0.0,1.0364565254616508e-05,-1.3837502559292929e-05,0.040168229166102756,-0.018037904457273782,-0.009837780785710046,0.0,416.9842628375126,416.12418671853743,419.1996939121989,417.6296959429172
0.12000000000000001,6.124487506906481e-06,-9.789175112410699e-06,10.004399961165841,6.282227737573807,6.282142518118034,0.0,0.0002553669777115543,-0.00038666895564153623,0.06632640404716578,0.0006217011408343118,-0.025468529922074032,0.0,413.8319955596017,412.45415187132227,411.6551110506198,413.30275101423797
0.18,5.0679976741544545e-05,-5.361029041899123e-05,10.012715670564194,6.282525193329555,6.280497788574504,0.0,0.0014017500715025918,-0.0010545726230061718,0.21084724506531657,0.012461605801483453,-0.03161346179925886,0.0,450.53893298962845,450.04174133534576,450.8644661264224,451.81979159484695
0.23999999999999996,0.00019668581848124376,-0.00012735688774874338,10.028122388584238,6.28279793925725,6.278744911469303,0.0,0.0036486081771887075,-0.0013432714723892376,0.302688926564178,-0.02014879284290317,-0.024804101950558703,0.0,434.6539826831197,435.2238951016043,435.15690036655576,432.41894557381994
0.3,0.0005232438915816574,-0.00022153570452256501,10.051429123696504,6.281888711146266,6.277048203469342,0.0,0.007414446249324878,-0.001913529615008051,0.47414518081626683,-0.0066767028159683325,-0.03633372825700957,0.0,459.8165048945353,458.90215527547645,458.3782219094001,459.4474997308037
0.36000000000000004,0.0011474906654441101,-0.0003725784231940786,10.08983830669275,6.282339594988709,6.275569296206378,0.0,0.013632929494544595,-0.003104963768432818,0.8059853436254437,0.02664550260542873,-0.007979978151439995,0.0,504.15024283965386,506.19432182237887,504.47266818460486,506.87267076008925
0.4200000000000001,0.00211832878253925,-0.0005697072337076671,10.140497280687958,0.0009073492793660876,6.275786953252094,0.0,0.018734232832240155,-0.0033003897728644768,0.8825906753913222,0.03392023494647336,0.02021775854815267,0.0,428.13976515056055,430.53185999979775,430.5467815622351,431.162026956732
0.48000000000000015,0.0033787589738626493,-0.0007433277583040696,10.194809580542499,0.0029199745361569995,6.27703585853309,0.0,0.023164217870062172,-0.002296971895988516,0.92778394900598,0.032780120729382224,0.021983646665823444,0.0,419.8740976709242,420.0272691707287,420.0240126455648,419.9256583411534
0.5400000000000001,0.004897737380197817,-0.0008093623912904307,10.254677046329949,0.004503194802762955,6.278272027139806,0.0,0.027329618849318858,0.00029212703009247863,1.0676778126265696,0.008817924396374915,0.01768759441444899,0.0,450.5397134857522,450.1922595225493,451.1381719650897,449.19957334794
0.6000000000000002,0.006646702783268341,-0.0006850247527257099,10.324229130054562,0.005287883395443949,6.278960754793912,0.0,0.03086328551799058,0.003927973216819448,1.2505429089775806,0.020467502145904207,-0.005368925017314352,0.0,464.5487879051201,462.73744535316166,463.0925048033431,464.007730052608
0.6600000000000003,0.008598064789674535,-0.0003191396241559,10.404829652852303,0.007704149435515006,6.278348435813161,0.0,0.034232007459851936,0.008494014258231404,1.435925195870428,0.064046166671272,-0.022253934466041205,0.0,466.1417227569963,464.82061485118135,462.300038553434,465.72139945783596
0.7200000000000003,0.010751963403744996,0.0003577753486143554,10.493048410494426,0.012477256554427107,6.277274849099342,0.0,0.037680272333816274,0.014498913935754414,1.5046072869436147,0.09986025016459868,-0.010352426612414183,0.0,429.0936488737319,430.1027554018415,426.7193395624054,429.77033847753563
0.7800000000000004,0.01314123111727782,0.0015183227314130403,10.587016289069428,0.018907026995925946,6.276823117781349,0.0,0.04201692859555621,0.02484133526804475,1.6274782378838515,0.11877564579348579,-0.0024075886314921385,0.0,446.45719977131336,447.1050086079082,445.13875474961577,446.69367614889745
0.8400000000000004,0.015823981265287737,0.0035217417745486866,10.692369997731213,0.025829573865141064,6.276918744702952,0.0,0.04740736023025595,0.04281178852088963,1.8839066217782938,0.10752893118634521,0.008589342924961404,0.0,485.8393423072818,486.66306768447805,487.27995472961396,486.4491178197546
0.9000000000000005,0.0188106016309739,0.006712881546195111,10.810776738369686,0.03216673472969411,6.277361278023836,0.0,0.05209011240998387,0.0642782696820054,2.0626588177215104,0.10150075488800313,0.004830141410385731,0.0,464.6305229928633,464.3356157768187,465.10286172360065,464.63973706348844
0.9600000000000005,0.02208334398102847,0.011420070436544543,10.94241106837404,0.038355828214373666,6.277666874993809,0.0,0.05696084845401545,0.09338493820015806,2.3246297981615243,0.1062616756558418,0.005614467680255976,0.0,490.19750581078796,490.25568927948603,488.8743276172549,489.2370968552369
1.0200000000000005,0.025628264872682154,0.017946911514397607,11.087584326555145,0.044703345189085475,6.278161739962226,0.0,0.061152450560847595,0.12489352271758535,2.514050152636005,0.10483637344112486,0.013053297230685044,0.0,467.8731627325202,468.4518234658515,471.15822276090876,471.0571203057568
1.0800000000000005,0.029402086744328444,0.026424295062528778,11.242203867553215,0.05066112677470436,6.278768025716005,0.0,0.06456575007884144,0.15832397944526813,2.639619615598052,0.0849217940733065,0.003437053561430037,0.0,451.7979157381818,451.0218271466158,451.78886148384066,450.18853101532835
1.1400000000000006,0.03336048007392402,0.03691891268376702,11.40219186557236,0.055399337407874505,6.278682696331902,0.0,0.06737201926541911,0.1919611598683148,2.6931599709260827,0.06311169366224938,-0.013544336723092954,0.0,430.4951570881941,429.0558958976846,429.23221175392564,427.38239703577335
